id, timestamp, demand, frequency, coal, nuclear, ccgt, wind, pumped, hydro, biomass, oil, solar, ocgt, french_ict, dutch_ict, irish_ict, ew_ict, nemo, other, north_south, scotland_england, ifa2, intelec_ict, nsl
1187856, 2022-09-19 00:00:45,21271,50.064999,234,4318,7549,5432,0,49,1318,0,0,0,163,832,-426,-56,999,113,-256,-798,-402,-644,264
1187857, 2022-09-19 00:05:43,21218,49.986,232,4307,7492,5400,0,49,1306,0,0,0,163,863,-452,-164,999,112,-260,-780,-388,-642,295
1187858, 2022-09-19 00:10:39,21283,50.005001,230,4305,7392,5392,0,49,1302,0,0,0,171,1004,-452,-164,999,112,-201,-756,-388,-642,327
1187859, 2022-09-19 00:15:41,21223,50.026001,234,4310,7281,5400,0,49,1307,0,0,0,171,1002,-452,-164,999,112,-192,-702,-388,-642,358
1187860, 2022-09-19 00:20:40,21174,50.040001,234,4321,7266,5349,0,49,1297,0,0,0,171,1003,-452,-164,999,112,-191,-688,-388,-642,373
1187861, 2022-09-19 00:25:39,21067,49.966,233,4316,7287,5244,0,49,1280,0,0,0,171,1003,-452,-164,999,112,-265,-691,-388,-642,373
1187862, 2022-09-19 00:30:40,20911,49.946999,238,4306,7304,5150,0,49,1201,0,0,0,171,1004,-452,-164,999,116,-230,-679,-388,-642,373
1187863, 2022-09-19 00:35:39,20795,49.849998,237,4311,7266,5091,0,49,1180,0,0,0,171,1003,-402,-32,999,115,-231,-678,-414,-738,373
1187864, 2022-09-19 00:40:39,20824,50.015999,245,4322,7316,5022,0,49,1193,0,0,0,171,1003,-402,-32,999,131,-246,-695,-414,-738,373
1187865, 2022-09-19 00:45:39,20891,49.884998,245,4302,7594,4858,0,49,1175,0,0,0,171,1001,-402,-32,999,124,-359,-672,-414,-738,373
1187866, 2022-09-19 00:50:40,21088,50.036999,254,4305,7843,4756,0,49,1195,0,0,0,171,1003,-402,-32,999,140,-347,-663,-414,-738,373
1187867, 2022-09-19 00:55:38,21207,50.030998,238,4316,7938,4785,0,49,1220,0,0,0,171,1003,-402,-32,999,115,-425,-669,-414,-738,373
1187868, 2022-09-19 01:00:52,21223,50.073002,230,4314,7994,4739,0,49,1239,0,0,1,171,1002,-402,-32,999,112,-464,-664,-414,-738,373
1187869, 2022-09-19 01:05:41,21137,50.001999,229,4313,7999,4685,0,49,1232,0,0,1,153,992,-402,0,999,112,-385,-609,-418,-746,373
1187870, 2022-09-19 01:10:38,21069,49.971001,231,4322,7951,4683,0,49,1293,0,0,1,103,952,-402,0,999,112,-327,-584,-418,-746,373
1187871, 2022-09-19 01:15:38,21058,50.042,233,4323,7891,4696,0,49,1345,0,0,1,84,951,-402,0,999,113,-364,-595,-418,-746,373
1187872, 2022-09-19 01:20:40,20997,49.998001,232,4310,7857,4653,0,49,1377,0,0,1,84,952,-402,0,999,112,-376,-591,-418,-746,371
1187873, 2022-09-19 01:25:39,20955,49.988998,234,4314,7878,4611,0,49,1348,0,0,1,84,953,-402,0,999,113,-394,-571,-418,-746,371
1187874, 2022-09-19 01:30:39,20873,49.978001,236,4319,7877,4575,0,49,1299,0,0,0,84,951,-402,0,999,113,-435,-570,-418,-746,371
1187875, 2022-09-19 01:35:40,20798,49.952,231,4317,7876,4509,0,49,1292,0,0,2,85,954,-356,0,999,113,-455,-545,-510,-836,371
1187876, 2022-09-19 01:40:39,20747,49.924999,240,4309,7899,4429,0,49,1296,0,0,1,84,952,-356,0,999,118,-491,-544,-510,-836,371
1187877, 2022-09-19 01:45:39,20678,49.896999,244,4309,7908,4337,0,49,1297,0,0,0,84,952,-356,0,999,128,-543,-542,-510,-836,371
1187878, 2022-09-19 01:50:42,20611,49.993999,250,4313,7958,4208,0,49,1293,0,0,0,84,952,-356,0,999,134,-546,-542,-510,-836,371
1187879, 2022-09-19 01:55:38,20576,50.099998,239,4313,7988,4129,0,49,1333,0,0,0,84,952,-356,0,999,119,-635,-568,-510,-836,371
1187880, 2022-09-19 02:00:39,20550,50.078999,230,4309,7986,4094,0,49,1373,0,0,0,84,952,-356,0,999,112,-598,-541,-510,-836,362
1187881, 2022-09-19 02:05:39,20564,50.098999,230,4315,7976,4084,0,49,1416,0,0,0,96,943,-336,0,999,112,-595,-510,-514,-840,344
